item_id,order_id,product_id,quantity,unit_price
1,3884,197,1,-16.44
2,3884,110,4,-14.13
3,3884,102,4,-24.17
4,3884,189,4,-48.43
5,27071,139,5,-12.55
6,27071,76,4,-25.51
7,38191,60,1,-38.81
8,38191,150,4,-25.86
9,38191,175,1,-37.09
10,38191,56,4,-14.84
11,38191,184,4,-12.61
12,39785,153,3,-38.64
13,39785,54,2,-44.0
14,39785,107,4,-31.16
15,7049,4,2,-6.43
16,7049,37,2,-31.41
17,7049,113,3,-5.46
18,7049,10,1,-21.78
19,17172,97,4,-48.02
20,17172,8,3,-10.69
21,17172,187,3,-41.38
22,33774,161,2,-44.81
23,33774,34,3,-43.94
24,33774,72,4,-30.37
25,33774,141,3,-36.46
26,17001,64,5,-6.39
27,20915,59,1,-32.46
28,21845,172,4,-23.78
29,21845,136,2,-22.9
30,21845,43,1,-17.68
31,39483,105,5,-32.05
32,39483,125,4,-16.83
33,43190,15,3,-38.74
34,43190,42,1,-26.29
35,12628,59,1,-21.41
36,12628,54,5,-39.06
37,12628,1,3,-18.39
38,34629,38,2,-20.06
39,34629,165,4,-38.11
40,19458,158,4,-40.82
41,14416,57,1,-17.96
42,14416,150,4,-12.54
43,40679,17,1,-39.16
44,40679,129,5,-36.43
45,40679,77,1,-27.14
46,40679,85,5,-19.94
47,12353,45,5,-22.16
48,12353,48,5,-9.3
49,12353,71,1,-30.28
50,23112,36,2,-49.8
51,23112,73,2,-18.37
52,23112,189,1,-7.59
53,661,187,3,-6.1
54,661,97,2,-35.66
55,4841,31,5,-28.39
56,4841,129,4,-22.99
57,4841,65,3,-7.45
58,4841,47,1,-33.4
59,4841,150,4,-46.21
60,25532,181,4,-23.28
61,25532,194,3,-26.11
62,25532,91,3,-7.76
63,25532,66,4,-47.89
64,17184,61,2,-10.54
65,29605,167,3,-7.9
66,36297,18,3,-38.55
67,11138,98,2,-28.88
68,11138,16,3,-32.99
69,11138,108,5,-40.97
70,11138,75,3,-4.63
71,42982,189,2,-6.45
72,42982,101,1,-16.06
73,42982,181,4,-32.93
74,30752,199,2,-34.75
75,30752,182,3,-7.28
76,30752,9,1,-4.3
77,30752,129,5,-27.61
78,30752,40,2,-28.68
79,6473,20,2,-28.46
80,6473,129,3,-24.46
81,6473,19,4,-6.54
82,6726,111,5,-34.31
83,1423,3,5,-2.26
84,1423,110,3,-23.39
85,44761,111,4,-11.55
86,44761,132,5,-9.45
87,44761,132,2,-43.38
88,44761,16,4,-31.99
89,23100,100,1,-40.15
90,23100,96,2,-20.07
91,38884,78,5,-39.88
92,32868,41,4,-39.47
93,32868,7,1,-48.34
94,5577,84,4,-48.02
95,5577,99,1,-44.96
96,14252,171,4,-32.91
97,14252,23,3,-27.08
98,14252,92,1,-45.59
99,14252,99,2,-16.45
100,9444,179,1,-12.08
101,1718,24,5,-8.18
102,35178,20,3,-42.35
103,35178,10,3,-43.12
104,35178,23,5,-35.1
105,18923,198,3,-25.81
106,13360,38,4,-11.52
107,13360,108,4,-2.47
108,3695,62,4,-13.03
109,3695,80,4,-4.8
110,3695,151,3,-30.54
111,3695,89,5,-10.63
112,3695,54,4,-9.51
113,5256,167,2,-43.49
114,5256,192,2,-38.75
115,5256,180,5,-30.15
116,27745,58,4,-20.31
117,27745,193,5,-20.28
118,27745,188,1,-9.51
119,27745,131,4,-45.26
120,18909,174,5,-1.24
121,18909,137,1,-32.35
122,18909,65,1,-13.25
123,29554,37,1,-36.83
124,29554,60,5,-28.02
125,29554,4,1,-36.04
126,42449,144,1,-49.12
127,38423,5,4,-10.62
128,30430,139,1,-28.42
129,30430,162,5,-19.29
130,30430,14,1,-48.09
131,30430,119,1,-32.62
132,30430,136,3,-33.7
133,22942,38,1,-4.99
134,22942,124,1,-2.29
135,22942,149,4,-8.04
136,7782,13,1,-45.7
137,7782,145,5,-18.13
138,7782,168,3,-6.06
139,39988,184,3,-12.55
140,39988,33,5,-33.79
141,39988,17,1,-29.62
142,39988,107,5,-11.02
143,39988,194,5,-29.75
144,42228,10,2,-41.51
145,42228,155,4,-22.41
146,42228,77,2,-44.54
147,37614,95,2,-8.12
148,37614,79,3,-3.86
149,37614,77,2,-4.24
150,8154,169,3,-46.98
151,8154,137,4,-24.96
152,8154,55,3,-41.71
153,31610,26,2,-34.28
154,31610,78,5,-9.54
155,35622,103,5,-7.78
156,35622,4,2,-23.18
157,35622,1,5,-6.47
158,35622,97,4,-27.76
159,886,105,1,-10.87
160,886,117,1,-21.98
161,886,139,5,-12.43
162,886,55,2,-19.84
163,16064,171,1,-39.92
164,16064,164,2,-22.33
165,16064,3,1,-39.24
166,4533,62,1,-22.33
167,19556,69,1,-5.99
168,19556,179,3,-19.7
169,35270,188,5,-7.12
170,35270,2,2,-19.4
171,35270,157,1,-49.77
172,41357,61,1,-40.0
173,41357,191,4,-10.04
174,41357,47,1,-32.93
175,41357,152,3,-26.52
176,34333,189,5,-17.38
177,6526,89,5,-11.0
178,37806,176,2,-36.01
179,37806,103,2,-5.42
180,37806,12,4,-38.48
181,26871,28,4,-47.4
182,26871,196,2,-24.19
183,26871,96,5,-37.24
184,26871,179,4,-19.8
185,39616,147,4,-29.97
186,34063,128,4,-24.97
187,34063,196,2,-43.37
188,34063,95,2,-26.59
189,42564,127,2,-21.47
190,42564,26,2,-44.85
191,42564,51,2,-7.09
192,2226,199,5,-21.6
193,2226,48,4,-41.11
194,20884,143,2,-16.52
195,20884,170,4,-44.57
196,20884,12,5,-41.8
197,33685,157,1,-9.23
198,33685,196,2,-40.79
199,33685,133,4,-6.43
200,5641,2,5,-48.35
201,5641,142,2,412.32
202,5641,157,4,172.79
203,22441,36,3,138.32
204,22441,169,2,490.27
205,22441,184,3,31.94
206,10341,19,4,451.12
207,10341,24,2,322.11
208,8981,23,4,20.39
209,8981,195,3,124.74
210,8981,103,5,161.03
211,8981,187,1,111.33
212,6789,53,2,24.03
213,6789,197,2,499.15
214,6789,79,4,372.43
215,6789,129,1,496.24
216,37628,14,5,392.49
217,37628,32,2,89.89
218,36638,70,5,488.14
219,36638,173,1,158.25
220,39748,104,3,164.07
221,39748,74,1,427.19
222,39748,77,5,237.69
223,39748,73,2,420.84
224,672,63,4,457.83
225,672,37,4,322.75
226,672,101,1,390.97
227,672,13,1,372.54
228,35334,52,4,80.37
229,35334,58,4,96.34
230,32762,180,5,189.84
231,32762,120,1,343.82
232,3555,187,5,111.33
233,3555,51,2,128.14
234,3555,24,5,322.11
235,3555,55,1,69.03
236,35559,101,5,390.97
237,3129,37,5,322.75
238,3129,61,5,92.58
239,3129,24,3,322.11
240,15758,53,4,24.03
241,7385,82,3,466.58
242,7385,91,3,64.66
243,7385,86,3,70.2
244,37721,53,5,24.03
245,37721,34,5,123.85
246,28148,16,5,318.84
247,28148,180,2,189.84
248,28148,83,1,313.08
249,23457,16,3,318.84
250,23457,28,1,77.92
251,23457,129,2,496.24
252,23457,69,5,52.34
253,39777,132,2,50.48
254,39777,18,1,55.96
255,39777,101,5,390.97
256,32028,81,2,95.41
257,32028,121,5,272.54
258,32028,128,4,255.27
259,357,36,5,138.32
260,14267,25,2,204.05
261,14267,159,5,429.45
262,6299,57,2,475.9
263,6299,66,1,97.71
264,34459,119,5,259.3
265,34459,80,1,168.11
266,35738,183,3,110.83
267,35738,46,1,180.66
268,25413,54,4,485.23
269,25413,91,5,64.66
270,37519,77,5,237.69
271,37519,175,4,12.94
272,22579,65,2,259.81
273,22579,149,2,453.89
274,22579,131,2,50.86
275,22579,126,3,135.51
276,29863,161,4,70.86
277,29863,65,2,259.81
278,2097,24,3,322.11
279,2097,79,4,372.43
280,23908,39,4,85.34
281,23908,38,1,45.21
282,23908,33,3,12.7
283,42871,159,4,429.45
284,42871,14,3,392.49
285,3170,38,3,45.21
286,25486,41,3,231.97
287,25486,153,5,136.66
288,39357,103,5,161.03
289,39357,16,1,318.84
290,25154,128,2,255.27
291,25154,11,5,5.99
292,25154,47,2,378.18
293,25154,69,4,52.34
