order_id,customer_id,order_date,status
1,1531,2023-04-11,
2,3599,2023-07-03,
3,1307,2023-03-28,pending_review
4,4383,2023-12-03,unknown
5,1153,2023-01-19,
6,1953,2023-09-24,
7,178,2023-08-12,
8,2060,2023-09-25,
9,535,2023-06-14,pending_review
10,1548,2023-03-30,
11,4230,2023-04-19,unknown
12,1133,2023-03-24,unknown
13,4053,2023-09-14,
14,4954,2023-08-18,pending_review
15,1224,2023-12-12,pending_review
16,75,2023-11-07,pending_review
17,3959,2023-05-09,unknown
18,689,2023-05-08,unknown
19,2803,2023-02-19,unknown
20,472,2023-12-22,unknown
21,2651,2023-06-19,pending_review
22,4992,2023-08-30,
23,1653,2023-08-03,
24,1019,2023-01-12,
25,3223,2023-11-03,unknown
26,2015,2023-03-24,pending_review
27,1268,2023-03-13,unknown
28,1234,2023-12-21,
29,4037,2023-06-24,unknown
30,3825,2023-03-26,
31,618,2023-06-10,pending_review
32,4148,2023-09-29,
33,3264,2023-06-06,unknown
34,3917,2023-01-11,unknown
35,29,2023-03-22,pending_review
36,2962,2023-01-21,
37,3101,2023-11-06,
38,2745,2023-08-27,unknown
39,1389,2023-08-31,pending_review
40,2493,2023-02-22,pending_review
41,2357,2023-02-02,pending_review
42,308,2023-09-06,unknown
43,2438,2023-10-10,
44,1084,2023-12-15,unknown
45,2214,2023-01-08,pending_review
46,3559,2023-07-03,unknown
47,4148,2023-03-06,unknown
48,3715,2023-06-13,
49,3042,2023-08-10,
50,3521,2023-11-19,
51,113,2023-11-24,
52,2008,2023-10-02,unknown
53,1564,2023-11-09,pending_review
54,2924,2023-09-04,unknown
55,2150,2023-06-09,pending_review
56,582,2023-04-20,pending_review
57,3669,2023-04-14,unknown
58,4875,2023-07-08,pending_review
59,4803,2023-03-23,
60,4283,2023-12-26,
61,4810,2023-09-29,pending_review
62,3969,2023-10-18,pending_review
63,4438,2023-10-02,unknown
64,4901,2023-11-03,
65,2111,2023-08-21,pending_review
66,4146,2023-06-15,
67,4828,2023-10-15,pending_review
68,2581,2023-11-13,unknown
69,117,2023-12-03,unknown
70,4893,2023-09-30,pending_review
71,1701,2023-02-25,unknown
72,3576,2023-04-26,
73,1045,2023-02-21,pending_review
74,1823,2023-08-18,unknown
75,3122,2023-02-09,
76,827,2023-03-02,pending_review
77,4490,2023-08-16,pending_review
78,4372,2023-11-09,pending_review
79,612,2023-09-14,
80,2700,2023-08-28,unknown
81,4608,2023-12-29,unknown
82,1868,2023-04-08,
83,34,2023-09-29,
84,1495,2023-09-24,unknown
85,3580,2023-10-15,pending_review
86,1339,2023-02-23,
87,4847,2023-07-26,pending_review
88,2492,2023-07-13,unknown
89,1415,2023-11-18,pending_review
90,1324,2023-05-13,unknown
91,3778,2023-10-17,pending_review
92,4028,2023-01-25,pending_review
93,4106,2023-07-24,
94,1055,2023-03-21,unknown
95,4308,2023-09-07,pending_review
96,3958,2023-01-23,unknown
97,4479,2023-11-26,unknown
98,553,2023-05-31,pending_review
99,406,2023-05-30,pending_review
100,632,2023-10-12,
101,2093,2023-08-12,returned
102,3284,2023-04-29,cancelled
103,4711,2023-08-21,completed
104,3207,2023-01-10,returned
105,4222,2023-06-16,cancelled
106,2207,2023-08-09,cancelled
107,1580,2023-12-10,completed
108,31,2023-11-29,cancelled
109,1263,2023-03-20,cancelled
110,978,2023-01-20,completed
111,4702,2023-12-08,completed
112,3418,2023-02-02,cancelled
113,3284,2023-02-21,completed
114,811,2023-06-12,returned
115,2920,2023-12-16,returned
116,3684,2023-09-23,cancelled
117,2276,2023-05-09,cancelled
118,4283,2023-06-04,returned
119,2686,2023-10-19,returned
120,4044,2023-05-17,completed
121,1411,2023-04-09,cancelled
122,3531,2023-04-17,completed
123,57,2023-01-21,cancelled
124,4291,2023-06-23,returned
125,4269,2023-11-02,cancelled
126,4350,2023-11-29,completed
127,2386,2023-09-23,completed
128,2928,2023-01-28,cancelled
129,3135,2023-05-18,completed
130,2664,2023-02-11,completed
131,1435,2023-12-13,completed
132,2479,2023-04-11,completed
133,4197,2023-08-17,cancelled
134,2426,2023-01-02,completed
135,1653,2023-03-20,cancelled
136,4378,2023-06-15,completed
137,4199,2023-10-29,completed
138,2608,2023-11-15,cancelled
139,344,2023-10-11,completed
140,3708,2023-01-08,completed
141,3345,2023-03-17,completed
142,2444,2023-11-11,completed
143,1261,2023-12-22,completed
144,4200,2023-09-07,cancelled
145,498,2023-03-09,completed
146,2727,2023-10-12,completed
147,4429,2023-08-26,completed
148,250,2023-08-25,completed
149,567,2023-03-24,completed
150,4739,2023-01-05,cancelled
151,543,2023-11-16,cancelled
152,4886,2023-07-08,cancelled
153,1106,2023-11-23,completed
154,2758,2023-03-01,completed
155,898,2023-03-23,returned
156,3189,2023-08-25,completed
157,4315,2023-01-06,completed
158,2604,2023-12-22,completed
159,3802,2023-03-21,returned
160,3094,2023-10-19,cancelled
161,2451,2023-07-17,completed
162,4695,2023-05-06,cancelled
163,1825,2023-08-11,completed
164,155,2023-12-11,returned
165,4789,2023-11-18,completed
166,1150,2023-09-13,cancelled
167,9,2023-03-07,completed
168,2215,2023-02-27,completed
169,1911,2023-02-04,returned
170,4346,2023-08-22,completed
171,2721,2023-07-22,completed
172,144,2023-07-02,completed
173,2558,2023-03-01,completed
174,1863,2023-02-07,cancelled
175,3767,2023-07-02,completed
176,4363,2023-06-19,cancelled
177,2971,2023-08-25,returned
178,932,2023-09-12,completed
179,547,2023-07-19,cancelled
180,2190,2023-12-20,completed
181,1651,2023-01-02,completed
182,4968,2023-05-05,cancelled
183,4214,2023-11-10,completed
184,869,2023-08-10,cancelled
185,1304,2023-04-06,completed
186,1379,2023-12-13,cancelled
187,256,2023-10-14,returned
188,4495,2023-05-27,completed
189,1358,2023-06-28,cancelled
190,3937,2023-04-24,completed
191,809,2023-11-26,cancelled
192,1577,2023-09-29,completed
193,3146,2023-06-06,completed
194,4837,2023-03-24,completed
195,3044,2023-02-05,completed
196,3840,2023-07-30,completed
197,2416,2023-10-30,completed
198,3126,2023-11-16,returned
199,2785,2023-08-07,completed
200,3395,2023-08-30,completed
201,3444,2023-12-27,completed
202,1930,2023-02-21,cancelled
203,1184,2023-03-27,cancelled
204,976,2023-06-24,completed
205,1242,2023-12-10,completed
206,1868,2023-07-03,completed
207,295,2023-10-03,cancelled
208,2592,2023-11-16,completed
209,4442,2023-09-01,cancelled
210,456,2023-09-18,completed
211,3818,2023-06-23,returned
212,2126,2023-01-28,cancelled
213,3447,2023-07-12,returned
214,2572,2023-03-20,completed
215,4462,2023-07-30,completed
216,3707,2023-10-18,completed
217,3792,2023-07-19,completed
218,2890,2023-08-15,completed
219,2625,2023-07-11,completed
220,4570,2023-08-14,completed
